State,Incident Date,# Killed,# Injured
Illinois,"September 2, 2019",0,4
Connecticut,"September 1, 2019",1,3
North Carolina,"September 1, 2019",0,4
Alabama,"September 1, 2019",0,7
Ohio,"September 1, 2019",0,4
Texas,"August 31, 2019",8,23
North Carolina,"August 31, 2019",1,3
South Carolina,"August 31, 2019",0,4
Pennsylvania,"August 31, 2019",2,2
Maryland,"August 31, 2019",0,4
Maryland,"August 31, 2019",0,4
Illinois,"August 31, 2019",2,3
Alabama,"August 30, 2019",0,6
Maryland,"August 30, 2019",1,3
Maryland,"August 29, 2019",1,3
New Mexico,"August 25, 2019",3,4
Illinois,"August 25, 2019",1,3
Maryland,"August 24, 2019",0,7
Massachusetts,"August 24, 2019",1,3
Texas,"August 23, 2019",3,2
Georgia,"August 23, 2019",0,4
Missouri,"August 23, 2019",1,3
South Carolina,"August 22, 2019",2,2
California,"August 22, 2019",0,4
Georgia,"August 20, 2019",0,4
Missouri,"August 18, 2019",0,4
Texas,"August 17, 2019",0,6
Alabama,"August 15, 2019",2,3
Pennsylvania,"August 15, 2019",0,5
Pennsylvania,"August 14, 2019",0,6
Washington,"August 13, 2019",2,3
Mississippi,"August 12, 2019",0,4
Illinois,"August 11, 2019",0,6
Virginia,"August 10, 2019",0,4
California,"August 10, 2019",0,4
Illinois,"August 9, 2019",0,4
Missouri,"August 7, 2019",3,1
New York,"August 5, 2019",0,4
Louisiana,"August 4, 2019",0,4
Illinois,"August 4, 2019",1,7
Tennessee,"August 4, 2019",1,3
Illinois,"August 4, 2019",0,7
Ohio,"August 4, 2019",10,17
Texas,"August 3, 2019",22,24
Virginia,"August 2, 2019",2,3
Ohio,"July 30, 2019",0,5
California,"July 28, 2019",4,17
Pennsylvania,"July 28, 2019",1,5
Wisconsin,"July 28, 2019",5,2
District of Columbia,"July 28, 2019",0,4
Illinois,"July 28, 2019",0,4
Kansas,"July 27, 2019",1,3
New York,"July 27, 2019",1,11
Washington,"July 26, 2019",1,3
California,"July 25, 2019",4,2
Illinois,"July 21, 2019",0,4
District of Columbia,"July 21, 2019",0,4
Pennsylvania,"July 20, 2019",0,4
